# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.1925,-3.6750,0.5369,0.5369
-3.1925,-3.6875,0.5344,0.5344
-3.1925,-3.7000,0.5322,0.5322
-3.2050,-3.7125,0.5416,0.5416
-3.2050,-3.7250,0.5397,0.5397
-3.2050,-3.7375,0.5369,0.5369
-3.2050,-3.7500,0.5344,0.5344
-3.2050,-3.7625,0.5322,0.5322
-3.2050,-3.7750,0.5303,0.5303
-3.2175,-3.7875,0.5397,0.5397
-3.2175,-3.8000,0.5369,0.5369
-3.2175,-3.8125,0.5344,0.5344
-3.2175,-3.8250,0.5322,0.5322
-3.2175,-3.8375,0.5303,0.5303
-3.2300,-3.8500,0.5411,0.5411
-3.2300,-3.8625,0.5398,0.5398
-3.2300,-3.8750,0.5388,0.5388
-3.2300,-3.8875,0.5381,0.5381
-3.2425,-3.9000,0.5501,0.5501
-3.2425,-3.9125,0.5500,0.5500
-3.2425,-3.9250,0.5491,0.5491
-3.2425,-3.9375,0.5467,0.5467
-3.2425,-3.9500,0.5446,0.5446
-3.2425,-3.9625,0.5427,0.5427
-3.2550,-3.9750,0.5535,0.5535
-3.2550,-3.9875,0.5523,0.5523
-3.2550,-4.0000,0.5513,0.5513
-3.2550,-4.0125,0.5506,0.5506
-3.2550,-4.0250,0.5501,0.5501
-3.2550,-4.0375,0.5491,0.5491
-3.2550,-4.0500,0.5467,0.5467
-3.2675,-4.0625,0.5569,0.5569
-3.2675,-4.0750,0.5551,0.5551
-3.2675,-4.0875,0.5535,0.5535
-3.2675,-4.1000,0.5523,0.5523
-3.2675,-4.1125,0.5513,0.5513
-3.2800,-4.1250,0.5631,0.5631
-3.2800,-4.1375,0.5626,0.5626
-3.2800,-4.1500,0.5625,0.5625
-3.2800,-4.1625,0.5625,0.5625
-3.2800,-4.1750,0.5625,0.5625
-3.2925,-4.1875,0.5750,0.5750
-3.2925,-4.2000,0.5750,0.5750
-3.2925,-4.2125,0.5750,0.5750
-3.2925,-4.2250,0.5750,0.5750
-3.2925,-4.2375,0.5750,0.5750
-3.2925,-4.2500,0.5750,0.5750
-3.2925,-4.2625,0.5750,0.5750
-3.2925,-4.2750,0.5750,0.5750
-3.3050,-4.2875,0.5859,0.5859
-3.3050,-4.3000,0.5836,0.5836
-3.3050,-4.3125,0.5816,0.5816
-3.3050,-4.3250,0.5799,0.5799
-3.3050,-4.3375,0.5784,0.5784
-3.3050,-4.3500,0.5772,0.5772
-3.3175,-4.3625,0.5887,0.5887
-3.3175,-4.3750,0.5880,0.5880
-3.3175,-4.3875,0.5876,0.5876
-3.3175,-4.4000,0.5875,0.5875
-3.3300,-4.4125,0.6000,0.6000
-3.3300,-4.4250,0.6000,0.6000
-3.3300,-4.4375,0.6000,0.6000
-3.3300,-4.4500,0.6000,0.6000
-3.3300,-4.4625,0.6000,0.6000
-3.3300,-4.4750,0.6000,0.6000
-3.3300,-4.4875,0.6000,0.6000
-3.3300,-4.5000,0.6000,0.6000
-3.3300,-4.5125,0.6000,0.6000
-3.3425,-4.5250,0.6125,0.6125
-3.3425,-4.5375,0.6125,0.6125
-3.3425,-4.5500,0.6125,0.6125
-3.3425,-4.5625,0.6105,0.6105
-3.3425,-4.5750,0.6083,0.6083
-3.3425,-4.5875,0.6063,0.6063
-3.3425,-4.6000,0.6047,0.6047
-3.3425,-4.6125,0.6032,0.6032
-3.3550,-4.6250,0.6145,0.6145
-3.3550,-4.6375,0.6136,0.6136
-3.3550,-4.6500,0.6130,0.6130
-3.3550,-4.6625,0.6126,0.6126
-3.3550,-4.6750,0.6125,0.6125
-3.3550,-4.6875,0.6125,0.6125
-3.3550,-4.7000,0.6125,0.6125
-3.3675,-4.7125,0.6250,0.6250
-3.3675,-4.7250,0.6250,0.6250
-3.3675,-4.7375,0.6250,0.6250
-3.3675,-4.7500,0.6250,0.6250
-3.3675,-4.7625,0.6250,0.6250
-3.3675,-4.7750,0.6250,0.6250
-3.3675,-4.7875,0.6250,0.6250
-3.3675,-4.8000,0.6250,0.6250
-3.3675,-4.8125,0.6250,0.6250
-3.3675,-4.8250,0.6250,0.6250
-3.3675,-4.8375,0.6227,0.6227
-3.3800,-4.8500,0.6329,0.6329
-3.3800,-4.8625,0.6311,0.6311
-3.3800,-4.8750,0.6295,0.6295
-3.3800,-4.8875,0.6281,0.6281
-3.3800,-4.9000,0.6270,0.6270
-3.3925,-4.9125,0.6386,0.6386
-3.3925,-4.9250,0.6380,0.6380
-3.3925,-4.9375,0.6376,0.6376
-3.3925,-4.9500,0.6375,0.6375
-3.3925,-4.9625,0.6375,0.6375
-3.3925,-4.9750,0.6375,0.6375
-3.3925,-4.9875,0.6375,0.6375
-3.3925,-5.0000,0.6375,0.6375
-3.3925,-5.0125,0.6375,0.6375
-3.3925,-5.0250,0.6375,0.6375
-3.3925,-5.0375,0.6375,0.6375
-3.3925,-5.0500,0.6375,0.6375
-3.3925,-5.0625,0.6375,0.6375
-3.3925,-5.0750,0.6375,0.6375
-3.3925,-5.0875,0.6375,0.6375
-3.4050,-5.1000,0.6500,0.6500
-3.4050,-5.1125,0.6496,0.6496
-3.4050,-5.1250,0.6474,0.6474
-3.4050,-5.1375,0.6453,0.6453
-3.4050,-5.1500,0.6435,0.6435
-3.4050,-5.1625,0.6419,0.6419
-3.4175,-5.1750,0.6530,0.6530
-3.4175,-5.1875,0.6519,0.6519
-3.4175,-5.2000,0.6511,0.6511
-3.4175,-5.2125,0.6505,0.6505
-3.4175,-5.2250,0.6501,0.6501
-3.4175,-5.2375,0.6500,0.6500
