# x_m,y_m,w_tr_right_m,w_tr_left_m
2.0007,-0.0107,0.9220,0.9220
2.0507,-0.0107,0.9341,0.9341
2.1007,-0.0107,0.9487,0.9487
2.1507,-0.0107,0.9500,0.9500
2.2007,-0.0107,0.9500,0.9500
2.2507,-0.0107,0.9500,0.9500
2.3007,-0.0107,0.9500,0.9500
2.3507,-0.0107,0.9500,0.9500
2.4007,-0.0107,0.9500,0.9500
2.4507,-0.0107,0.9500,0.9500
2.5007,-0.0607,0.9000,0.9000
2.5507,-0.0607,0.9000,0.9000
2.6007,-0.0607,0.9000,0.9000
2.6507,-0.0607,0.9000,0.9000
2.7007,-0.0607,0.9000,0.9000
2.7507,-0.0607,0.9000,0.9000
2.8007,-0.0607,0.9000,0.9000
2.8507,-0.0607,0.9000,0.9000
2.9007,-0.0607,0.9000,0.9000
2.9507,-0.0607,0.9000,0.9000
3.0007,-0.0607,0.9000,0.9000
3.0507,-0.0607,0.9000,0.9000
3.1007,-0.0607,0.9000,0.9000
3.1507,-0.0607,0.8860,0.8860
3.2007,-0.0607,0.8732,0.8732
3.2507,-0.0607,0.8631,0.8631
3.3007,-0.0607,0.8559,0.8559
3.3507,-0.0607,0.8515,0.8515
3.4007,-0.0607,0.8500,0.8500
3.4507,-0.1107,0.8000,0.8000
3.5007,-0.1107,0.8000,0.8000
3.5507,-0.1107,0.8000,0.8000
3.6007,-0.1107,0.8000,0.8000
3.6507,-0.1107,0.8000,0.8000
3.7007,-0.1107,0.8000,0.8000
3.7507,-0.1107,0.8000,0.8000
3.8007,-0.1107,0.8000,0.8000
3.8507,-0.1107,0.8000,0.8000
3.9007,-0.1107,0.8000,0.8000
3.9507,-0.1107,0.8000,0.8000
4.0007,-0.1107,0.8000,0.8000
4.0507,-0.1107,0.8000,0.8000
4.1007,-0.1107,0.8000,0.8000
4.1507,-0.1107,0.8000,0.8000
4.2007,-0.1107,0.8000,0.8000
4.2507,-0.1107,0.8000,0.8000
4.3007,-0.1107,0.8000,0.8000
4.3507,-0.1107,0.8000,0.8000
4.4007,-0.1107,0.8000,0.8000
4.4507,-0.1107,0.8000,0.8000
4.5007,-0.1107,0.8000,0.8000
4.5507,-0.1107,0.8000,0.8000
4.6007,-0.1107,0.8000,0.8000
4.6507,-0.1107,0.8000,0.8000
4.7007,-0.1107,0.7906,0.7906
4.7507,-0.1107,0.7762,0.7762
4.8007,-0.1107,0.7649,0.7649
4.8507,-0.1107,0.7566,0.7566
4.9007,-0.1107,0.7517,0.7517
4.9507,-0.1107,0.7500,0.7500
5.0007,-0.1107,0.7500,0.7500
5.0507,-0.1107,0.7500,0.7500
5.1007,-0.1107,0.7500,0.7500
5.1507,-0.1107,0.7500,0.7500
5.2007,-0.1107,0.7500,0.7500
5.2507,-0.0607,0.8000,0.8000
5.3007,-0.0607,0.8000,0.8000
5.3507,-0.0607,0.8000,0.8000
5.4007,-0.0607,0.8000,0.8000
5.4507,-0.0607,0.8000,0.8000
5.5007,-0.0607,0.8000,0.8000
5.5507,-0.0607,0.8000,0.8000
5.6007,-0.0607,0.8000,0.8000
5.6507,-0.0607,0.8000,0.8000
5.7007,-0.0607,0.8000,0.8000
5.7507,-0.0607,0.8000,0.8000
5.8007,-0.0607,0.8000,0.8000
5.8507,-0.0607,0.8000,0.8000
5.9007,-0.0607,0.8000,0.8000
5.9507,-0.0607,0.8000,0.8000
6.0007,-0.0607,0.8000,0.8000
6.0507,-0.0607,0.8000,0.8000
6.1007,-0.0607,0.8000,0.8000
6.1507,-0.0607,0.8000,0.8000
6.2007,-0.0607,0.8000,0.8000
6.2507,-0.0607,0.8000,0.8000
6.3007,-0.0607,0.8000,0.8000
6.3507,-0.0607,0.8000,0.8000
6.4007,-0.0607,0.8000,0.8000
6.4507,-0.0607,0.8000,0.8000
6.5007,-0.0607,0.8000,0.8000
6.5507,-0.0607,0.8000,0.8000
6.6007,-0.0607,0.8000,0.8000
6.6507,-0.0607,0.8000,0.8000
6.7007,-0.0607,0.8000,0.8000
6.7507,-0.0607,0.8000,0.8000
6.8007,-0.0607,0.8000,0.8000
6.8507,-0.0607,0.8000,0.8000
6.9007,-0.0607,0.8000,0.8000
6.9507,-0.0607,0.8000,0.8000
7.0007,-0.0607,0.8000,0.8000
7.0507,-0.0607,0.8000,0.8000
7.1007,-0.0607,0.8000,0.8000
7.1507,-0.0607,0.8000,0.8000
7.2007,-0.0107,0.8500,0.8500
7.2507,-0.0107,0.8500,0.8500
7.3007,0.0393,0.8382,0.8382
7.3507,0.0393,0.8544,0.8544
7.4007,0.0393,0.8732,0.8732
7.4507,0.0393,0.8944,0.8944
7.5007,0.0393,0.8732,0.8732
7.5507,0.0393,0.8544,0.8544
7.6007,0.0893,0.8860,0.8860
7.6507,0.0893,0.8732,0.8732
7.7007,0.1393,0.9124,0.9124
7.7507,0.1893,0.9434,0.9434
7.8007,0.2393,0.9552,0.9552
7.8507,0.2893,0.9552,0.9552
7.9007,0.3393,0.9552,0.9552
7.9507,0.3893,0.9552,0.9552
8.0007,0.4393,0.9605,0.9605
8.0507,0.4893,0.9708,0.9708
8.1007,0.5393,0.9862,0.9862
8.1507,0.5893,0.9899,0.9899
8.2007,0.6393,0.9849,0.9849
8.2507,0.6893,0.9618,0.9618
8.2507,0.7393,0.9552,0.9552
8.3007,0.7893,0.9487,0.9487
8.3507,0.8393,0.9124,0.9124
8.3507,0.8893,0.9220,0.9220
8.4007,0.9393,0.8860,0.8860
8.4007,0.9893,0.9014,0.9014
8.4507,1.0393,0.8631,0.8631
8.4507,1.0893,0.8732,0.8732
8.5007,1.1393,0.8382,0.8382
8.5007,1.1893,0.8544,0.8544
8.5507,1.2393,0.8246,0.8246
8.5507,1.2893,0.8201,0.8201
8.6007,1.3393,0.8078,0.8078
8.6507,1.3893,0.7826,0.7826
8.7007,1.4393,0.7632,0.7632
8.7507,1.4893,0.7500,0.7500
8.8007,1.5393,0.7159,0.7159
8.8507,1.5893,0.6801,0.6801
8.9007,1.5893,0.6964,0.6964
8.9507,1.6393,0.6519,0.6519
9.0007,1.6393,0.6576,0.6576
9.0507,1.6893,0.6185,0.6185
9.1007,1.6893,0.6325,0.6325
9.1507,1.6893,0.6265,0.6265
9.2007,1.6893,0.6042,0.6042
9.2507,1.7393,0.6185,0.6185
9.3007,1.7393,0.6185,0.6185
9.3507,1.7393,0.6083,0.6083
9.4007,1.7393,0.6021,0.6021
9.4507,1.7393,0.6000,0.6000
9.5007,1.7393,0.6000,0.6000
9.5507,1.7393,0.6000,0.6000
9.6007,1.7393,0.6000,0.6000
9.6507,1.7393,0.6000,0.6000
9.7007,1.7893,0.6500,0.6500
9.7507,1.7893,0.6500,0.6500
9.8007,1.7893,0.6500,0.6500
9.8507,1.7893,0.6500,0.6500
9.9007,1.7893,0.6500,0.6500
9.9507,1.7893,0.6500,0.6500
10.0007,1.7893,0.6500,0.6500
10.0507,1.7893,0.6500,0.6500
10.1007,1.7393,0.6964,0.6964
10.1507,1.7393,0.7000,0.7000
10.2007,1.7393,0.7000,0.7000
10.2507,1.7393,0.7000,0.7000
10.3007,1.7393,0.7000,0.7000
10.3507,1.7393,0.7000,0.7000
10.4007,1.7393,0.7000,0.7000
10.4507,1.7393,0.7000,0.7000
10.5007,1.7393,0.7000,0.7000
10.5507,1.7393,0.7000,0.7000
10.6007,1.7393,0.7000,0.7000
10.6507,1.7393,0.7000,0.7000
10.7007,1.7393,0.7000,0.7000
10.7507,1.7393,0.7000,0.7000
10.8007,1.7393,0.7000,0.7000
10.8507,1.7393,0.7000,0.7000
10.9007,1.7393,0.7000,0.7000
10.9507,1.7393,0.7000,0.7000
11.0007,1.7393,0.7000,0.7000
11.0507,1.7393,0.7000,0.7000
11.1007,1.7393,0.7000,0.7000
11.1507,1.7393,0.7000,0.7000
11.2007,1.7393,0.7000,0.7000
11.2507,1.7393,0.7000,0.7000
11.3007,1.7393,0.7000,0.7000
11.3507,1.7393,0.7000,0.7000
11.4007,1.7393,0.7000,0.7000
11.4507,1.7393,0.7000,0.7000
11.5007,1.7393,0.7000,0.7000
11.5507,1.7393,0.7000,0.7000
11.6007,1.7393,0.7000,0.7000
11.6507,1.7893,0.7500,0.7500
11.7007,1.7893,0.7500,0.7500
11.7507,1.7893,0.7433,0.7433
11.8007,1.7893,0.7280,0.7280
11.8507,1.8393,0.7649,0.7649
11.9007,1.8893,0.8016,0.8016
11.9507,1.9393,0.7566,0.7566
11.9507,1.9893,0.7649,0.7649
11.9507,2.0393,0.7762,0.7762
11.9507,2.0893,0.7906,0.7906
11.9507,2.1393,0.7826,0.7826
11.9507,2.1893,0.7616,0.7616
11.9507,2.2393,0.7433,0.7433
11.9507,2.2893,0.7280,0.7280
12.0007,2.3393,0.7500,0.7500
12.0007,2.3893,0.7500,0.7500
