# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.5782,-5.2200,0.8347,0.8347
-2.5782,-5.2271,0.8362,0.8362
-2.5711,-5.2342,0.8309,0.8309
-2.5640,-5.2413,0.8257,0.8257
-2.5640,-5.2484,0.8274,0.8274
-2.5570,-5.2555,0.8223,0.8223
-2.5570,-5.2626,0.8242,0.8242
-2.5570,-5.2697,0.8261,0.8261
-2.5499,-5.2768,0.8213,0.8213
-2.5499,-5.2839,0.8233,0.8233
-2.5499,-5.2909,0.8254,0.8254
-2.5499,-5.2980,0.8276,0.8276
-2.5499,-5.3051,0.8298,0.8298
-2.5428,-5.3122,0.8254,0.8254
-2.5428,-5.3193,0.8274,0.8274
-2.5428,-5.3264,0.8292,0.8292
-2.5428,-5.3335,0.8310,0.8310
-2.5428,-5.3406,0.8329,0.8329
-2.5428,-5.3477,0.8349,0.8349
-2.5357,-5.3548,0.8301,0.8301
-2.5357,-5.3619,0.8322,0.8322
-2.5357,-5.3690,0.8344,0.8344
-2.5357,-5.3760,0.8365,0.8365
-2.5357,-5.3831,0.8388,0.8388
-2.5357,-5.3902,0.8411,0.8411
-2.5286,-5.3973,0.8368,0.8368
-2.5286,-5.4044,0.8392,0.8392
-2.5286,-5.4115,0.8417,0.8417
-2.5286,-5.4186,0.8442,0.8442
-2.5286,-5.4257,0.8468,0.8468
-2.5286,-5.4328,0.8495,0.8495
-2.5215,-5.4399,0.8456,0.8456
-2.5215,-5.4470,0.8484,0.8484
-2.5215,-5.4541,0.8512,0.8512
-2.5215,-5.4612,0.8540,0.8540
-2.5215,-5.4682,0.8568,0.8568
-2.5144,-5.4753,0.8522,0.8522
-2.5144,-5.4824,0.8545,0.8545
-2.5144,-5.4895,0.8568,0.8568
-2.5144,-5.4966,0.8590,0.8590
-2.5144,-5.5037,0.8612,0.8612
-2.5144,-5.5108,0.8635,0.8635
-2.5144,-5.5179,0.8657,0.8657
-2.5073,-5.5250,0.8612,0.8612
-2.5073,-5.5321,0.8635,0.8635
-2.5073,-5.5392,0.8657,0.8657
-2.5002,-5.5463,0.8612,0.8612
-2.5002,-5.5534,0.8635,0.8635
-2.5002,-5.5604,0.8653,0.8653
-2.5002,-5.5675,0.8671,0.8671
-2.4931,-5.5746,0.8622,0.8622
-2.4931,-5.5817,0.8641,0.8641
-2.4931,-5.5888,0.8661,0.8661
-2.4931,-5.5959,0.8682,0.8682
-2.4860,-5.6030,0.8635,0.8635
-2.4860,-5.6101,0.8657,0.8657
-2.4860,-5.6172,0.8679,0.8679
-2.4860,-5.6243,0.8670,0.8670
