# x_m,y_m,w_tr_right_m,w_tr_left_m
0.0216,-1.1892,0.6773,0.6773
0.0324,-1.1892,0.6729,0.6729
0.0432,-1.1892,0.6686,0.6686
0.0541,-1.1892,0.6645,0.6645
0.0649,-1.2000,0.6706,0.6706
0.0757,-1.2000,0.6669,0.6669
0.0865,-1.2000,0.6633,0.6633
0.0973,-1.2000,0.6598,0.6598
0.1081,-1.2000,0.6565,0.6565
0.1189,-1.2108,0.6638,0.6638
0.1297,-1.2108,0.6609,0.6609
0.1405,-1.2108,0.6581,0.6581
0.1514,-1.2108,0.6555,0.6555
0.1622,-1.2216,0.6637,0.6637
0.1730,-1.2216,0.6615,0.6615
0.1838,-1.2216,0.6595,0.6595
0.1946,-1.2216,0.6576,0.6576
0.2054,-1.2216,0.6559,0.6559
0.2162,-1.2324,0.6651,0.6651
0.2270,-1.2324,0.6638,0.6638
0.2378,-1.2324,0.6626,0.6626
0.2486,-1.2324,0.6617,0.6617
0.2595,-1.2324,0.6609,0.6609
0.2703,-1.2432,0.6711,0.6711
0.2811,-1.2432,0.6706,0.6706
0.2919,-1.2432,0.6704,0.6704
0.3027,-1.2432,0.6703,0.6703
0.3135,-1.2432,0.6703,0.6703
0.3243,-1.2432,0.6703,0.6703
0.3351,-1.2432,0.6703,0.6703
0.3459,-1.2541,0.6811,0.6811
0.3568,-1.2541,0.6811,0.6811
0.3676,-1.2541,0.6811,0.6811
0.3784,-1.2541,0.6811,0.6811
0.3892,-1.2541,0.6811,0.6811
0.4000,-1.2541,0.6811,0.6811
0.4108,-1.2541,0.6811,0.6811
0.4216,-1.2541,0.6812,0.6812
0.4324,-1.2541,0.6814,0.6814
0.4432,-1.2541,0.6819,0.6819
0.4541,-1.2541,0.6825,0.6825
0.4649,-1.2541,0.6832,0.6832
0.4757,-1.2541,0.6842,0.6842
0.4865,-1.2541,0.6853,0.6853
0.4973,-1.2541,0.6866,0.6866
0.5081,-1.2432,0.6773,0.6773
0.5189,-1.2432,0.6789,0.6789
0.5297,-1.2432,0.6807,0.6807
0.5405,-1.2432,0.6827,0.6827
0.5514,-1.2432,0.6848,0.6848
0.5622,-1.2324,0.6766,0.6766
0.5730,-1.2324,0.6791,0.6791
0.5838,-1.2324,0.6818,0.6818
0.5946,-1.2216,0.6742,0.6742
0.6054,-1.2216,0.6772,0.6772
0.6162,-1.2108,0.6701,0.6701
0.6270,-1.2108,0.6735,0.6735
0.6378,-1.2000,0.6669,0.6669
0.6486,-1.2000,0.6706,0.6706
0.6595,-1.2000,0.6745,0.6745
0.6703,-1.1892,0.6686,0.6686
0.6811,-1.1784,0.6630,0.6630
0.6919,-1.1784,0.6675,0.6675
0.7027,-1.1676,0.6624,0.6624
0.7135,-1.1568,0.6576,0.6576
0.7243,-1.1568,0.6576,0.6576
0.7351,-1.1459,0.6527,0.6527
0.7459,-1.1351,0.6479,0.6479
0.7568,-1.1243,0.6430,0.6430
0.7676,-1.1135,0.6382,0.6382
0.7784,-1.1027,0.6334,0.6334
0.7892,-1.0919,0.6285,0.6285
0.8000,-1.0811,0.6238,0.6238
0.8108,-1.0703,0.6189,0.6189
0.8216,-1.0595,0.6143,0.6143
0.8324,-1.0486,0.6101,0.6101
0.8432,-1.0378,0.6063,0.6063
0.8541,-1.0270,0.6028,0.6028
0.8649,-1.0162,0.5997,0.5997
0.8757,-1.0054,0.5969,0.5969
0.8865,-0.9946,0.5937,0.5937
0.8973,-0.9838,0.5907,0.5907
0.9081,-0.9730,0.5882,0.5882
0.9189,-0.9622,0.5860,0.5860
0.9297,-0.9514,0.5842,0.5842
0.9405,-0.9405,0.5819,0.5819
0.9514,-0.9297,0.5795,0.5795
0.9514,-0.9189,0.5810,0.5810
0.9622,-0.9081,0.5812,0.5812
0.9730,-0.8973,0.5818,0.5818
0.9838,-0.8865,0.5818,0.5818
0.9838,-0.8757,0.5758,0.5758
0.9946,-0.8649,0.5774,0.5774
1.0054,-0.8541,0.5795,0.5795
1.0162,-0.8432,0.5819,0.5819
1.0270,-0.8324,0.5847,0.5847
1.0378,-0.8216,0.5879,0.5879
